# Inputs
# - sttic: number of `static` items
# - root_: number of uninlined function items
# - inlnd: number of inlined function items
# - bb___: number of basic blocks
# - ssd__: number of `SourceScopeData`s
# - stmt_: number of statements
# - term_: number of `Terminator`s; equal to bb___ (one terminator per basic block)
# - a_msg: number of assert messages
# - rval_: number of MIR `Rvalue`s
# - place: number of MIR `Place`s
# - proj_: number of MIR projections
# - proje: number of MIR projection elems
# - const: number of MIR constants
# - ty_cn: number of MIR `TyConst`s
# - ty___: number of MIR `Ty`s
# - regn_: number of MIR regions
# - args_: number of `GenericArgsRef`s
# - lc_dc: number of `LocalDecls`
# - vdi__: number of `VarDebugInfo`s
# - local: number of MIR locations(?)
# - argc_: number of function arguments
#
# Note: there will be high levels of correlation among many of these inputs.
# The more functions you have, the more of everything else (basic blocks,
# statements, etc.) you'll tend to have.
#
# Outputs
# - t_all__ = t_gen__ + t_opt__ + t_lto__; the main value to be estimated
# - t_gen__ = time to translate MIR to LLVM IR
# - t_opt__ = time for LLVM to process the LLVM IR
# - t_lto__ = time for LLVM to perform thin LTO, if necessary (only for release builds)
#
# Other
# - cgu_name: CGU name; the first part indicates the benchmark name
# - est__: the current estimation function, approximately equal to sttic + bb___ + stmt_

cgu_name                                     sttic root_ inlnd bb___ ssd__ stmt_ term_ a_msg rval_ place proj_ proje const ty_cn ty___ regn_ args_ lc_dc vdi__ local argc_ est__ t_all__ t_gen__ t_opt__ t_lto__
CGU-parser.3832416321258292-cgu.5___________     0    45     0   215  1570  2000   215     0   635  2820  2820   350    95     0  1745    45  1025   970  1115  4230    65  2215    40.7     9.6    31.1     0.0
CGU-parser.3832416321258292-cgu.6___________     0    92    11   531   659  1597   531     9   823  2890  2890   678   376     0  2142    87   500  1116   690  3776   142  2128    75.0    15.8    59.2     0.0
CGU-token_stream_stress_bin.1197a9be1c69f5ab-cgu.0     0     9     0    20    14    28    20     0    10    51    51    10    13     0    64     2     4    34    12    78    14    48     8.8     1.8     7.0     0.0
CGU-tt_muncher.4e5de6b420dc3cd6-cgu.0_______     0     9     0  2874   316  3830  2874     0  3812 13408 13408    10  3466     0  9870  2302   304  6387   314 13435    14  6704   228.4   122.4   106.0     0.0
CGU-tuple_stress.b8355867f690a994-cgu.0_____     1     9     0    22    14    33    22     0    15    62    62    11    17     0    75     2     4    40    12    89    14    56    23.6     2.7    20.9     0.0
CGU-ucd.862a790d8b89ba1b-cgu.0______________    62   177     1  1138   498  2412  1138    27  1685  4240  4240   369   876    42  2798    50   186  1655   534  5140   235  3612    76.5    10.5    66.0     0.0
CGU-ucd.862a790d8b89ba1b-cgu.1______________    22    68     3   721   422  2118   721   188  1558  4412  4412  1182   421     0  2950    56   201  1553   538  5045   130  2861   184.7    42.4   142.3     0.0
CGU-ucd.862a790d8b89ba1b-cgu.2______________     4    18     0   474   328  1819   474     2  1049  2304  2304    96   400     0  1191    26   139   752   327  3072    33  2297    45.0    12.7    32.3     0.0
CGU-issue_32062_equality_relations_complexity.f8ab0bc70651b2b5-cgu.0     0    22     0    59    31    90    59     0    64   220   220    15    53     0   207     2    45   121    37   268    38   149    18.1     3.0    15.1     0.0
CGU-issue_43572_unused_uses.58030da0f276a376-cgu.0     0     9     0    20    14    28    20     0    10    51    51    10    13     0    64     2     4    34    12    78    14    48     5.3     1.3     4.0     0.0
CGU-rust_grammar.ba0189da4d5b1dad-cgu.0_____     0     8     1   545    13   943   545     0   909  1347  1347     7   272     0   711     2   367   420    17  1389    13  1488    14.7     2.4    12.3     0.0
