# Inputs
# - sttic: number of `static` items
# - root_: number of uninlined function items
# - inlnd: number of inlined function items
# - bb___: number of basic blocks
# - ssd__: number of `SourceScopeData`s
# - stmt_: number of statements
# - term_: number of `Terminator`s; equal to bb___ (one terminator per basic block)
# - a_msg: number of assert messages
# - rval_: number of MIR `Rvalue`s
# - place: number of MIR `Place`s
# - proj_: number of MIR projections
# - proje: number of MIR projection elems
# - const: number of MIR constants
# - ty_cn: number of MIR `TyConst`s
# - ty___: number of MIR `Ty`s
# - regn_: number of MIR regions
# - args_: number of `GenericArgsRef`s
# - lc_dc: number of `LocalDecls`
# - vdi__: number of `VarDebugInfo`s
# - local: number of MIR locations(?)
# - argc_: number of function arguments
#
# Note: there will be high levels of correlation among many of these inputs.
# The more functions you have, the more of everything else (basic blocks,
# statements, etc.) you'll tend to have.
#
# Outputs
# - t_all__ = t_gen__ + t_opt__ + t_lto__; the main value to be estimated
# - t_gen__ = time to translate MIR to LLVM IR
# - t_opt__ = time for LLVM to process the LLVM IR
# - t_lto__ = time for LLVM to perform thin LTO, if necessary (only for release builds)
#
# Other
# - cgu_name: CGU name; the first part indicates the benchmark name
# - est__: the current estimation function, approximately equal to sttic + bb___ + stmt_

cgu_name                                     sttic root_ inlnd bb___ ssd__ stmt_ term_ a_msg rval_ place proj_ proje const ty_cn ty___ regn_ args_ lc_dc vdi__ local argc_ est__ t_all__ t_gen__ t_opt__ t_lto__
CGU-exa.13d962035b4b1d1-cgu.14______________     0    92     0   678  1134  2713   678     1  1147  3738  3738   965   582     1  2658    54   719  1332  1027  5396   115  3391    47.3     6.3    41.0     0.0
CGU-exa.13d962035b4b1d1-cgu.15______________     0   141    13  1392   537  1999  1392     9  1514  5027  5027   645  1031    12  3709   304   298  2075   578  5668   237  3391    58.1     8.9    49.2     0.0
CGU-helloworld.5427f4214e61106a-cgu.0_______     0    10     0    26    15    49    26     0    20    79    79    11    21     0    91     2     6    49    13   118    15    75    11.0     2.8     8.2     0.0
CGU-html5ever.81fe68c137613ebb-cgu.0________     0   117    17   975  1214  3434   975    25  1657  5444  5444   822   870     3  3666   154   714  1980  1169  7351   229  4409    88.2    20.6    67.6     0.0
CGU-html5ever.81fe68c137613ebb-cgu.1________     5   154    11   971   823  2137   971     9  1162  3752  3752   813   685    21  2853   125   475  1446   785  4891   244  3113    60.6    13.3    47.3     0.0
CGU-hyper.f95cdac0e4971901-cgu.00___________    68    39    31  3595   575  4737  3595    18  4619 13836 13836   881  3379     5 10402   974   706  6042   602 14022   123  8400   199.3    23.3   176.0     0.0
CGU-hyper.f95cdac0e4971901-cgu.01___________     0    98     2  1050   325  2017  1050   127  1967  5740  5740  1415   805     0  4256   244   186  2321   377  5911   172  3067    83.6    13.2    70.4     0.0
CGU-hyper.f95cdac0e4971901-cgu.02___________     0    53     7   337  1019  2044   337     0   716  2453  2453   715   391     0  2089    56   676   951   823  3841    60  2381    51.1    12.0    39.1     0.0
CGU-hyper.f95cdac0e4971901-cgu.03___________     0    68     6   331  1039  1550   331     1   600  2351  2351   384   179     2  1617    55   679   878   796  3375   102  1881    56.9    12.9    44.0     0.0
CGU-hyper.f95cdac0e4971901-cgu.04___________     0   143     6   646   474  1235   646     3   723  2200  2200   419   307     0  1532    46   284   898   490  2861   207  1881    59.4    27.1    32.3     0.0
