# Inputs
# - sttic: number of `static` items
# - rfn__: number of uninlined function items
#   - rbb__: number of basic blocks in uninlined functions
#     - rssd_: number of `SourceScopeData`s in uninlined functions
#     - rstmt: number of statements in uninlined functions
#       - rplac: number of MIR `Place`s in uninlined functions
#       - rproj: number of MIR projections in uninlined functions
#       - rcnst: number of MIR constants in uninlined functions
#     - rdecl: number of `LocalDecls` in uninlined functions
# - ifn__: number of inlined function items
#   - ibb__: number of basic blocks in inlined functions
#     - issd_: number of `SourceScopeData`s in inlined functions
#     - istmt: number of statements in inlined functions
#       - iplac: number of MIR `Place`s in inlined functions
#       - iproj: number of MIR projections in inlined functions
#       - icnst: number of MIR constants in inlined functions
#     - idecl: number of `LocalDecls` in inlined functions
#
# The nesting shows how things fit together. E.g. a function contains basic
# blocks, which contains statements, which contains places.
# There will be high levels of correlation among many of these inputs.
# The more functions you have, the more of everything else (basic blocks,
# statements, etc.) you'll tend to have.
#
# Outputs
# - t_all__ = t_gen__ + t_opt__ + t_lto__; the main value to be estimated
# - t_gen__ = time to translate MIR to LLVM IR
# - t_opt__ = time for LLVM to process the LLVM IR
# - t_lto__ = time for LLVM to perform thin LTO, if necessary (only for opt builds)
#
# Other
# - cgu_name: CGU name; the first part indicates the benchmark name
# - est__: the current estimation function, approximately equal to sttic + bb___ + stmt_

cgu_name                                     sttic rfn__ ifn__ rbb__ ibb__ rssd_ issd_ rstmt istmt rplac iplac rproj iproj rcnst icnst rdecl idecl est__ t_all__ t_gen__ t_opt__ t_lto__
CGU-autocfg.fffb60107db463f-cgu.09__________     0    16    23    80   110   114   138   278   292   386   432    79    89    40    59   148   182  2002    72.5     2.3    43.7    26.6
CGU-itoa.d527e09b0a8e2a9a-cgu.0_____________     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     3.3     0.2     2.1     1.0
CGU-bitflags.302c5e5f6d915ab3-cgu.0_________     0    18    27    76   112    57    87   249   217   294   366    29    72    89    62   137   176  1720    52.8     1.9    29.4    21.6
CGU-getrandom.163c4e011ad892eb-cgu.0________     3    24    25   258   138   233   126  1012   555  1158   678   218   100   207   101   441   291  4047    55.9     3.6    31.1    21.2
CGU-base64.1c6f8b475027e6ad-cgu.0___________     0    14    15   152   206   128   328  1239  1189  1548  1562   345   211   374   254   554   531  4730   161.8     3.7    83.0    75.1
CGU-base64.1c6f8b475027e6ad-cgu.1___________     0    18    27   183   186   281   316   901   764  1120  1085   118   150   141   133   404   391  3655    49.3     3.5    27.5    18.3
CGU-base64.1c6f8b475027e6ad-cgu.2___________     0    37    14   174    58   178    75   871   226  1050   272   133    50   171    36   424   115  2356    76.8     2.8    41.5    32.5
CGU-log.28c57cc2e897a689-cgu.0______________     7    52    57   213   341   201   252   825   982  1035  1346   156   307   240   209   456   540  5737    70.0     5.6    34.4    30.0
CGU-serde_derive.bf4f3a9021c252-cgu.00______     1     6   108   224   567   232   720   938  1325  1118  2169   175   644   215   238   422   859  8814   203.3     8.3   122.5    72.5
CGU-serde_derive.bf4f3a9021c252-cgu.01______     0    46    16   383   129  1244   250  2301   539  3040   811   482    92   244    99  1047   282  5880    84.4     3.3    38.7    42.4
CGU-serde_derive.bf4f3a9021c252-cgu.02______     0    16    53    63   248    93   315   258   731   336  1069    47   297    52   169   140   437  3553   120.6     4.1    70.7    45.7
CGU-serde_derive.bf4f3a9021c252-cgu.03______     0    23    41   134   178   138   218   351   453   559   721   114   184    87    82   218   309  3376   111.5     3.0    65.2    43.3
CGU-serde_derive.bf4f3a9021c252-cgu.04______     0    19    38    68   163   232   250   600   482   774   772   189   191    49    78   280   319  3137    74.5     2.3    30.3    41.9
CGU-serde_derive.bf4f3a9021c252-cgu.05______     0     5    28    77   119   108    96   244   385   361   494   108   145    42    89   117   245  2384    78.7     1.7    39.2    37.8
CGU-serde_derive.bf4f3a9021c252-cgu.06______     0    23     8   127    34   239    87   533   191   806   271   227    59    68    25   298   100  2271    53.6     1.8    37.1    14.6
CGU-serde_derive.bf4f3a9021c252-cgu.07______     0    12    26    55   119   119   235   265   445   350   688    90   161    28    82   134   263  2222    57.5     6.0    23.8    27.7
CGU-serde_derive.bf4f3a9021c252-cgu.08______     0     5    24    18   194    43   331    77   571   135   912    11   139    20   108    58   288  2084    52.1     1.3    25.9    25.0
CGU-serde_derive.bf4f3a9021c252-cgu.09______     0     2    19    38   178    59   311   159   489   200   780    32    93    24   116    67   248  2012    68.8     1.0    33.1    34.8
CGU-serde_derive.bf4f3a9021c252-cgu.10______     0     4    21    37   179    46   313   143   494   186   791    32    90    19   118    67   252  2000    59.0     1.1    29.3    28.6
CGU-serde_derive.bf4f3a9021c252-cgu.11______     0     4    20    45   172    33   319   107   480   134   774    27    90    27    97    56   247  1987    48.5     1.2    22.3    24.9
CGU-serde_derive.bf4f3a9021c252-cgu.12______     0     6    19    19   183    13   288    46   664    81   939    15   126    10   151    38   307  1978    35.3     1.2    10.7    23.3
CGU-serde_derive.bf4f3a9021c252-cgu.13______     0     8    14    89    64   115   104   331   229   480   307   111    76    66    43   170   122  1819    61.9     1.9    33.1    26.9
CGU-rand_chacha.a1c6583638560126-cgu.0______     0    19   263    87  1389    77  1309   127  6801   272  8140    14  1240   117  1692   124  3323 15348   306.0    11.3   116.6   178.1
CGU-rand_chacha.a1c6583638560126-cgu.1______     0    47    39   198   136   268   137   982   432  1240   569   125   101   212    75   488   240  3242    79.0     3.2    43.5    32.2
CGU-rand_chacha.a1c6583638560126-cgu.2______     0    17    17   196   101    74   153   493   500   622   604    56   156   142   141   243   238  2927    97.2     2.0    64.4    30.8
CGU-time.250f186bf896db28-cgu.0_____________     0   100    14   986    83   872    39  3275   187  4122   274   259    72  1224    43  1496   110  8807   209.0    12.9   127.4    68.8
CGU-time.250f186bf896db28-cgu.1_____________     0    54    14   568   127   313    41  1999   418  2375   490   343   133   462    61   944   184  6769   250.1     6.9   193.4    49.8
CGU-time.250f186bf896db28-cgu.2_____________     0    54     2   592     7   228     4  1962     9  2283    19   108     4   585     1   887    10  4641   180.1     5.1   134.4    40.5
CGU-time.250f186bf896db28-cgu.3_____________     0    74     7   258    44   148    19   753   110  1011   141   251    85   114    13   514    55  3458   123.9     3.4    91.6    28.9
CGU-time.250f186bf896db28-cgu.4_____________     0    83    12   293    55   219    30   689   139   973   203    32    25   355    27   454    93  2664    93.3     5.7    58.4    29.2
CGU-time.250f186bf896db28-cgu.5_____________     0    36     0   288     0   275     0  1543     0  1601     0    93     0   601     0   603     0  2388   113.6     2.4    71.2    40.0
CGU-time.250f186bf896db28-cgu.6_____________     0    40    14   148    43    95    21   370   105   531   126   163    52   108    16   241    68  2197   103.1     4.3    72.5    26.4
CGU-time.250f186bf896db28-cgu.7_____________     0    25     0   266     0   183     0   871     0   967     0    35     0   340     0   335     0  2002    71.0     2.4    42.7    25.9
CGU-time.250f186bf896db28-cgu.8_____________     0    64     0   179     0   124     0   689     0   836     0   172     0    59     0   478     0  1941   145.6     3.8   119.0    22.8
CGU-serde_json.4c51e9605f80f7c9-cgu.00______     0   100    94   377   638   403   998  1143  2499  1689  3533   402   683   228   498   697  1268 11445   243.5    10.2   137.6    95.7
CGU-serde_json.4c51e9605f80f7c9-cgu.01______     0    78    54   611   205  1553   541  3685  1165  5041  1588  1058   361   416   120  1771   619 11388   184.4     7.4    90.0    87.0
CGU-serde_json.4c51e9605f80f7c9-cgu.02______     1    28    64   557   455   217   571  1338  1167  1874  1835   384   419   260   248   647   656 10297   237.1     4.5   133.5    99.1
CGU-serde_json.4c51e9605f80f7c9-cgu.03______     2    16   104   170   663   141   665   473  2391   709  3322    80   927   108   521   243  1259  9861   213.7     4.6   112.0    97.1
CGU-serde_json.4c51e9605f80f7c9-cgu.04______     0    26    76   173   653   160  1095   654  2730   859  3775   175   782   160   420   336  1272  9610   196.4     5.4    94.8    96.2
CGU-serde_json.4c51e9605f80f7c9-cgu.05______     2    33    45   374   303   177   449  1204  1076  1622  1541   435   272   250   198   585   549  7569   185.4     7.1   118.1    60.2
CGU-serde_json.4c51e9605f80f7c9-cgu.06______     0     3    67    17   569     6   762    40  2359    66  3197    10   773     7   294    28  1082  7234   167.2     5.2    92.7    69.3
CGU-serde_json.4c51e9605f80f7c9-cgu.07______     0    17    21   187   171   524   385  1025   820  1359  1195   189   130   136   145   477   413  3782    66.3     2.4    31.8    32.1
CGU-serde_json.4c51e9605f80f7c9-cgu.08______     0    42    28   142   170   194   142   575   726   686   855    37   148   165   194   328   358  2924   143.5     2.6   105.8    35.2
CGU-serde_json.4c51e9605f80f7c9-cgu.09______     0    32    25    72   171    98   132   229   590   410   821    97   189    48   132   191   317  2845    73.8     2.2    42.0    29.5
CGU-serde_json.4c51e9605f80f7c9-cgu.10______     0    21    18   144    98   275   230   570   630   777   815   193    78    81   112   275   285  2778    87.9     2.2    54.6    31.1
CGU-serde_json.4c51e9605f80f7c9-cgu.11______     1    18    16   124    57   190    85   483   184   689   266   319    56    69    42   241   118  2768    99.6     2.7    66.6    30.3
CGU-serde_json.4c51e9605f80f7c9-cgu.12______     0    14    19   144    83   138   100   413   137   576   277   225    69    67    40   207   128  2765   128.8     2.1    97.2    29.5
CGU-serde_json.4c51e9605f80f7c9-cgu.13______     0    18    25   120   109   212   145   571   363   759   470   144   129    76    66   277   203  2695    84.2     2.4    57.2    24.7
CGU-serde_json.4c51e9605f80f7c9-cgu.14______     0     9    25    54   218    54   505   132   725   229  1157    61   135    38   134    90   370  2688    57.6     1.4    30.3    25.9
CGU-serde_json.4c51e9605f80f7c9-cgu.15______     0    21    23   104   118    92   164   322   380   439   564   121   161    54    61   171   216  2682    92.1     2.2    59.5    30.4
CGU-lazy_static.a6d1ec8fda0cec3-cgu.0_______     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     5.2     0.2     4.0     1.1
CGU-memchr.e17c990bd22ac7c2-cgu.0___________     0    33    55   192   413   142   365   747  1856  1042  2257   316   485   111   229   397   841  7439   337.1    26.9   211.6    98.6
CGU-memchr.e17c990bd22ac7c2-cgu.1___________     0    22     6   533    26  1310    13  3277    58  4085   174    59     7  2301    14  1310    34  4177   163.0     8.3    87.9    66.8
CGU-memchr.e17c990bd22ac7c2-cgu.2___________     0    19     3   496    23  1230     3  3099    39  4433    56    76     6  1490     8  1223    23  3961   149.0     8.0    82.8    58.1
